name,camera_id
2,2
Losby,2
7,7
8,8
9,9
19,19
28,28
31,31
35,35
46,46
48,48
49,49
51,51
66,66
75,75
79,79
83,83
95,95
96,96
103,103
104,104
110,110
119,119
121,121
Ravnåsen,121
123,123
126,126
133,133
138,138
151,151
152,152
171,171
172,172
173,173
174,174
175,175
Solli,175
176,176
178,178
179,179
180,180
181,181
184,184
189,189
190,190
191,191
192,192
Gaupefjell,192
196,196
197,197
200,200
201,201
202,202
203,203
204,204
205,205
206,206
208,208
209,209
210,210
213,213
214,214
215,215
216,216
219,219
220,220
222,222
223,223
Kuklemåsan,223
226,226
Nord Elvågå,226
227,227
228,228
Vortungen,228
229,229
231,231
Marbukollen,231
232,232
Agnalt,232
234,234
236,236
237,237
238,238
239,239
243,243
244,244
Dalene,244
245,245
246,246
Langen,246
247,247
249,249
Rælingen,249
250,250
251,251
Bjørumåsen,251
253,253
254,254
255,255
256,256
257,257
Ødegården,257
258,258
Hølen - Video,258
260,260
261,261
Saglia,261
262,262
Piltingsrudbakka,262
263,263
264,264
Heiebrøtabakko,264
265,265
Skarobakko,265
266,266
267,267
268,268
Kammerud,268
269,269
270,270
Nygårdsetra,270
271,271
Villerud,271
272,272
Ristebu,272
273,273
Jomisberget,273
276,276
277,277
278,278
Seval,278
279,279
280,280
Rogne,280
281,281
Nordtorp,281
282,282
283,283
Skjellungskampen,283
284,284
285,285
Kalvberget,285
286,286
Sundheim,286
287,287
Gailberget,287
288,288
289,289
291,291
292,292
Sørby,292
295,295
296,296
297,297
Røisedalen,297
300,300
302,302
303,303
304,304
305,305
306,306
307,307
Fodnes,307
308,308
309,309
Heggelund,309
310,310
311,311
Øverlibygdi,311
312,312
313,313
Kvern,313
314,314
Kåterud,314
316,316
317,317
Øverlandsskogen,317
318,318
319,319
323,323
326,326
327,327
328,328
Andersrud (PC900),328
329,329
Høre,329
330,330
331,331
Sjukuåsen,331
332,332
334,334
335,335
Melby 2,335
336,336
Melby 1,336
337,337
338,338
Kulterud,338
339,339
340,340
341,341
Bjørgeseter,341
342,342
Stortjernet,342
345,345
347,347
349,349
350,350
352,352
Gillesvåg,352
353,353
Krakvika,353
356,356
Breivik,356
357,357
"Skreddalen, Oldereid",357
358,358
Skipselv vika,358
359,359
Sneliskolten,359
360,360
362,362
Skipmannvik,362
364,364
Nykkjekjelen,364
365,365
Stormyra,365
366,366
367,367
368,368
Langperhågen,368
369,369
370,370
Russelvdalen,370
371,371
Tømmerdal,371
372,372
Nystadnes lia,372
373,373
Tjærnfjell,373
374,374
Junkerdal,374
375,375
Dypendalen,375
376,376
378,378
Hellarmo,378
379,379
Bershola,379
380,380
382,382
Bølertjern,382
383,383
384,384
386,386
Storgrøva,386
387,387
388,388
389,389
390,390
Moudiejocha,390
391,391
Løvstad,391
393,393
Hemminghyttlia,393
394,394
395,395
396,396
Berby N,396
397,397
Berby S,397
398,398
399,399
400,400
401,401
Durud,401
402,402
404,404
Jordbru2,404
405,405
406,406
Korpholet,406
407,407
Stensjøen,407
408,408
Brustadkollen,408
409,409
410,410
413,413
Steinsvann sør,413
414,414
415,415
Svinesund,415
417,417
Grefsrødkollen,417
418,418
Stenbrudalen,418
419,419
Tillerås,419
420,420
Abbortjernhøgda,420
423,423
Piggåsen,423
424,424
Gravdalen,424
425,425
426,426
Elja,426
427,427
428,428
Trengselåsen,428
429,429
Beheim,429
431,431
Thon,431
432,432
Haukebøl,432
433,433
434,434
435,435
436,436
Tukusætra,436
437,437
Kråkehått,437
438,438
Kadaverkamera Nettum,438
439,439
440,440
Dyndalen,440
441,441
Isdalen,441
442,442
Stubbflåtten1,442
443,443
444,444
Fuglmyra,444
445,445
446,446
447,447
Nye Hagahøgget,447
448,448
Delingsdalen1,448
449,449
451,451
452,452
455,455
Gaupskardet,455
456,456
Sundvollen,456
457,457
Mønstervika,457
458,458
Plundropp,458
459,459
Kjærsrud,459
460,460
Lødeng,460
461,461
Korsetfjella,461
462,462
Ingedal,462
463,463
Knegterød,463
464,464
Håkenby,464
465,465
466,466
Brekke sluser,466
467,467
468,468
Melleby,468
469,469
Rambergkollen,469
470,470
Rørvannsåsen,470
471,471
Slevika,471
474,474
475,475
Kiskvatn,475
476,476
Skånland,476
477,477
Børsa,477
478,478
Kleva,478
480,480
Elsrud,480
481,481
482,482
Huevannet,482
483,483
Ulvevannet,483
484,484
Nestunnellen,484
485,485
Skarvannet,485
487,487
488,488
Sølvdobla,488
489,489
Tverråmoen,489
490,490
Risbekken,490
491,491
Solvik,491
492,492
493,493
Brandbukampen,493
494,494
Bøsnipa,494
495,495
Heggsjøen,495
496,496
497,497
498,498
Mokkalen,498
499,499
Skullerudtjern2,499
500,500
501,501
Hansekollen,501
502,502
Renoset,502
503,503
Oppkuven,503
504,504
Lortholkollen,504
506,506
Helvete,506
507,507
Glotjern,507
508,508
510,510
511,511
Langlia,511
512,512
513,513
Grefsen,513
514,514
515,515
516,516
Kynndalen,516
517,517
Sæteråsen,517
518,518
Heberget,518
519,519
Bjørklundsvingen,519
520,520
Kommunekoia,520
521,521
Gjefsåsen,521
522,522
Klintevja,522
523,523
2 kilometeren,524
524,524
525,525
Oslia,525
526,526
Gråberget,526
527,527
Tuvmyra,527
528,528
Skredderstua,528
529,529
Gammelsetra,529
530,530
Gransjøen,530
531,531
Mørstad,531
532,532
533,533
534,534
Høysvea,534
535,535
536,536
537,537
Tallhaugsetra,537
538,538
Nyborg,538
539,539
540,540
541,541
542,542
543,543
544,544
545,545
546,546
547,547
549,549
Rute 19,549
550,550
Berge,550
551,551
552,552
553,553
554,554
555,555
556,556
557,557
558,558
559,559
Rute 52,559
560,560
561,561
562,562
563,563
564,564
565,565
Rute 34,565
566,566
567,567
568,568
569,569
570,570
Sjøliseterberget,570
571,571
Svartåssætrene ,571
572,572
Furuhaugen,572
573,573
Gradalskollen,573
574,574
575,575
576,576
Rute 33,576
577,577
578,578
Rute_26,578
579,579
Rute_27,579
580,580
Rute_28,580
581,581
Rute_29,581
582,582
Rute_30,582
583,583
584,584
585,585
586,586
Knøsberget,586
587,587
588,588
589,589
590,590
591,591
Rute 34 Todalen,591
592,592
593,593
594,594
595,595
Rute 41,595
596,596
Rute 42,596
597,597
Rute 43,597
598,598
Rute 48 A,598
599,599
Rute 48 B,599
600,600
Rute 49,600
601,601
Rute 50,601
602,602
603,603
Rute14,603
604,604
